ID001,Espresso,Strong black coffee,2.50,Coffee,120,5,Yes
ID002,Cappuccino,Espresso with steamed milk and foam,3.50,Coffee,150,4,Yes
ID003,Latte,Espresso with steamed milk,3.75,Coffee,180,6,Yes
ID004,Americano,Espresso with hot water,3.00,Coffee,200,3,Yes
ID005,Mocha,Espresso with chocolate and steamed milk,4.25,Coffee,220,8,Yes
ID006,Macchiato,Espresso with a small amount of foamed milk,3.25,Coffee,130,4,Yes
ID007,Flat White,Espresso with microfoam milk,3.75,Coffee,160,5,Yes
ID008,Cold Brew,Slow-brewed cold coffee,4.00,Coffee,240,2,Yes
ID009,Affogato,Espresso poured over ice cream,4.50,Coffee,200,9,Yes
ID010,Turkish Coffee,Finely ground coffee brewed in a pot,3.75,Coffee,90,7,No
ID011,Vietnamese Coffee,Coffee with condensed milk,4.00,Coffee,180,6,No
ID012,Pour Over,Hand-poured filtered coffee,4.25,Coffee,300,1,Yes
ID013,Nitro Cold Brew,Cold brew infused with nitrogen,4.50,Coffee,240,3,Yes
ID014,Cortado,Equal parts espresso and steamed milk,3.50,Coffee,120,5,Yes
ID015,Red Eye,Coffee with a shot of espresso,3.75,Coffee,240,7,Yes
ID016,Croissant,Buttery flaky pastry,2.75,Food,0,6,Yes
ID017,Blueberry Muffin,Fresh blueberry muffin,2.50,Food,0,5,Yes
ID018,Chocolate Chip Cookie,Freshly baked chocolate chip cookie,1.75,Food,0,4,Yes
ID019,Bagel with Cream Cheese,Plain bagel with cream cheese spread,3.25,Food,0,8,Yes
ID020,Avocado Toast,Whole grain toast with smashed avocado,5.50,Food,0,12,Yes
ID021,Breakfast Sandwich,Egg and cheese on an English muffin,4.50,Food,0,10,Yes
ID022,Ham & Cheese Croissant,Croissant with ham and cheese,4.25,Food,0,9,Yes
ID023,Banana Bread,Freshly baked banana bread slice,3.00,Food,0,7,Yes
ID024,Cinnamon Roll,Freshly baked cinnamon roll with icing,3.50,Food,0,11,Yes
ID025,Fruit Cup,Fresh seasonal fruit,3.75,Food,0,4,Yes
ID026,Yogurt Parfait,Yogurt with granola and berries,4.00,Food,0,6,Yes
ID027,Almond Croissant,Croissant with almond filling,3.50,Food,0,8,Yes
ID028,Scone,Freshly baked scone,2.75,Food,0,5,Yes
ID029,Cheese Danish,Flaky pastry with sweet cheese filling,3.25,Food,0,7,Yes
ID030,Iced Tea,Fresh brewed iced tea,2.25,Cold Drinks,350,1,Yes
ID031,Orange Juice,Freshly squeezed orange juice,3.00,Cold Drinks,300,3,Yes
ID032,Bottled Water,Purified spring water,1.50,Cold Drinks,500,0,Yes
ID033,Iced Coffee,Cold brewed coffee over ice,3.25,Cold Drinks,400,2,Yes
ID034,Smoothie,Fruit smoothie with yogurt,4.50,Cold Drinks,350,5,Yes
ID035,Lemonade,Freshly squeezed lemonade,3.00,Cold Drinks,400,4,Yes
ID036,Iced Matcha Latte,Cold matcha with milk,4.25,Cold Drinks,400,3,Yes
ID037,Sparkling Water,Carbonated mineral water,2.00,Cold Drinks,500,0,Yes
ID038,Iced Chai Latte,Cold chai tea with milk,4.00,Cold Drinks,400,4,Yes
ID039,Kombucha,Fermented tea drink,4.50,Cold Drinks,350,2,No
ID040,Italian Soda,Sparkling water with flavored syrup,3.25,Cold Drinks,400,5,Yes
ID041,Hot Chocolate,Rich chocolate with steamed milk,3.50,Hot Drinks,250,6,Yes
ID042,Chai Tea Latte,Spiced tea with steamed milk,4.00,Hot Drinks,300,4,Yes
ID043,Herbal Tea,Variety of caffeine-free herbal teas,2.75,Hot Drinks,300,0,Yes
ID044,Green Tea,Japanese green tea,2.75,Hot Drinks,300,2,Yes
ID045,Matcha Latte,Matcha green tea with steamed milk,4.25,Hot Drinks,300,4,Yes
ID046,London Fog,Earl Grey tea with vanilla and steamed milk,4.00,Hot Drinks,300,3,Yes
ID047,Apple Cider,Hot spiced apple cider,3.50,Hot Drinks,300,0,Yes
ID048,White Hot Chocolate,White chocolate with steamed milk,4.00,Hot Drinks,250,7,Yes
ID049,Turmeric Latte,Turmeric with steamed milk and spices,4.25,Hot Drinks,300,0,Yes
ID050,Steamed Milk,Plain steamed milk,2.50,Hot Drinks,250,0,Yes
